ID                          Name         Partition   Nodes   Cores   GPUs   Decl._mem   Mem._%_usage    Eff.   CPU._used   GPUtime_[h]   Wall._Used   Wall._Req.              End_Time 
11982967_7           blender-job            plgrid       1       4      0      4.0GiB           5.6%   98.2%    00:06:24            --     00:01:36     00:15:00   2024-10-15 10:48:44 
11982967_4           blender-job            plgrid       1       4      0      4.0GiB           5.5%   96.0%    00:06:32            --     00:01:38     00:15:00   2024-10-15 10:48:46 
11982967_5           blender-job            plgrid       1       4      0      4.0GiB           5.5%   96.3%    00:06:36            --     00:01:39     00:15:00   2024-10-15 10:48:47 
11982967_3           blender-job            plgrid       1       4      0      4.0GiB           5.5%   96.2%    00:06:48            --     00:01:42     00:15:00   2024-10-15 10:48:50 
11982967_9           blender-job            plgrid       1       4      0      4.0GiB           5.5%   96.0%    00:06:48            --     00:01:42     00:15:00   2024-10-15 10:48:50 
11982967_10          blender-job            plgrid       1       4      0      4.0GiB           5.6%   96.1%    00:06:52            --     00:01:43     00:15:00   2024-10-15 10:48:51 
11982967_11          blender-job            plgrid       1       4      0      4.0GiB           5.5%   95.9%    00:06:52            --     00:01:43     00:15:00   2024-10-15 10:48:51 
11982967_8           blender-job            plgrid       1       4      0      4.0GiB           5.6%   96.0%    00:06:56            --     00:01:44     00:15:00   2024-10-15 10:48:52 
11982967_12          blender-job            plgrid       1       4      0      4.0GiB           5.6%   96.3%    00:06:56            --     00:01:44     00:15:00   2024-10-15 10:48:52 
11982967_6           blender-job            plgrid       1       4      0      4.0GiB           5.5%   97.5%    00:07:00            --     00:01:45     00:15:00   2024-10-15 10:48:53 
11982967_13          blender-job            plgrid       1       4      0      4.0GiB           5.5%   96.4%    00:07:00            --     00:01:45     00:15:00   2024-10-15 10:48:53 
11982967_15          blender-job            plgrid       1       4      0      4.0GiB           5.5%   95.9%    00:07:16            --     00:01:49     00:15:00   2024-10-15 10:48:57 
11982967_16          blender-job            plgrid       1       4      0      4.0GiB           5.5%   96.0%    00:07:20            --     00:01:50     00:15:00   2024-10-15 10:48:58 
11982967_18          blender-job            plgrid       1       4      0      4.0GiB           5.6%   96.0%    00:07:32            --     00:01:53     00:15:00   2024-10-15 10:49:01 
11982967_2           blender-job            plgrid       1       4      0      4.0GiB           5.7%   96.7%    00:07:36            --     00:01:54     00:15:00   2024-10-15 10:49:02 
11982967_19          blender-job            plgrid       1       4      0      4.0GiB           5.6%   96.3%    00:07:44            --     00:01:56     00:15:00   2024-10-15 10:49:04 
11982967_14          blender-job            plgrid       1       4      0      4.0GiB           5.6%   97.7%    00:07:56            --     00:01:59     00:15:00   2024-10-15 10:49:07 
